contract,date,roll_flag,daily_close,daily_return,daily_mean_vpin,daily_max_vpin,daily_vpin_slope,daily_vpin_zscore,daily_vpin_percentile,future_return,signal_raw,position,vpin_high_flag,slope_positive_flag
T,2015-06-02,False,94.99,0.008225866369474089,0.5117544758909857,0.6375727996567044,-0.01336673350291337,0.1386096013675996,0.56,0.0007369196757553986,1.0,0.0,False,False
T,2015-06-03,False,95.06,0.0007369196757553986,0.5295040821030985,0.5959283570554967,0.008167366151634525,0.36017327030611007,0.7058823529411765,-0.0015779507679360982,1.0,1.0,False,True
T,2015-06-04,False,94.91,-0.0015779507679360982,0.5659718736235151,0.6701395395041303,0.00018028288321204623,0.8143878248540017,0.8461538461538461,0.004109156042566564,0.0,1.0,True,True
T,2015-06-05,False,95.3,0.004109156042566564,0.556706394394066,0.6843806684372675,0.003669918602818323,0.6855802906123075,0.7924528301886793,0.0027282266526758026,1.0,0.0,False,True
T,2015-06-08,False,95.56,0.0027282266526758026,0.46853195816242516,0.5300168051700266,-0.005924272316615353,-0.4492046402170901,0.25925925925925924,-0.0008894935119297953,1.0,1.0,False,False
T,2015-06-09,False,95.475,-0.0008894935119297953,0.6108500700698941,0.6735082679275953,0.006525206047250126,1.367154079909796,0.9272727272727272,-0.005184603299292934,0.0,1.0,True,True
T,2015-06-10,False,94.98,-0.005184603299292934,0.6484848230951527,0.7176112651979341,0.021916957461910323,1.7820250743876103,0.9821428571428571,-0.0015792798483892367,0.0,0.0,True,True
T,2015-06-11,False,94.83,-0.0015792798483892367,0.5453241799811474,0.6133834823525751,0.01571884361068902,0.4725998218169145,0.7017543859649122,-0.0022144890857322963,1.0,0.0,False,True
T,2015-06-12,False,94.62,-0.0022144890857322963,0.5951099525687564,0.6588015686305411,0.01876300987239158,1.0854708400314188,0.8620689655172413,-0.004385964912280715,0.0,1.0,True,True
T,2015-06-15,False,94.205,-0.004385964912280715,0.5040523132086046,0.5652548112249042,-0.026697038424897533,-0.0712263351904429,0.4067796610169492,0.009819011729738314,1.0,0.0,False,False
T,2015-06-16,False,95.13,0.009819011729738314,0.5801580252939941,0.6228389228340917,-0.017792546237485996,0.8908509643993123,0.8333333333333334,-0.0017870282770945378,1.0,1.0,True,False
T,2015-06-17,False,94.96,-0.0017870282770945378,0.5667678673828638,0.6223372393240785,0.0027935447528670498,0.6996220956065886,0.8,0.003053917438921694,0.0,1.0,True,True
T,2015-06-18,False,95.25,0.003053917438921694,0.5959961080192607,0.6350556418224262,0.0064487865075267825,1.1441454558814612,0.8666666666666667,-0.002414698162729656,0.0,0.0,True,True
T,2015-06-19,False,95.02,-0.002414698162729656,0.5575760478565829,0.6242672637925908,0.01228855520212233,0.5477192381979528,0.7166666666666667,-0.0011576510208377577,1.0,0.0,False,True
T,2015-06-23,False,94.91,-0.0011576510208377577,0.5027930692605748,0.5517509734636857,-0.016392173159311952,-0.284998546724034,0.35,-0.00027394373617106726,1.0,1.0,False,False
T,2015-06-24,False,94.884,-0.00027394373617106726,0.5385711378724986,0.5631325891246883,-0.014959649777941642,0.24932601636758162,0.6,-0.0008852915138485296,1.0,1.0,False,False
T,2015-06-25,False,94.8,-0.0008852915138485296,0.5224654787203687,0.5558835506819765,-0.01660661685818683,0.02772845866463609,0.55,-0.0008966244725737704,1.0,1.0,False,False
T,2015-06-26,False,94.715,-0.0008966244725737704,0.44241055226672044,0.5349663140189681,-0.02106585817199309,-1.1876463625201286,0.11666666666666667,-0.001900438156575035,1.0,1.0,False,False
T,2015-06-29,False,94.535,-0.001900438156575035,0.5359355737610263,0.5692903250273067,-0.0029875576604875055,0.2031206828650431,0.6,0.002327180409372076,1.0,1.0,False,False
T,2015-06-30,False,94.755,0.002327180409372076,0.5591299338967317,0.6035351462653741,0.005458768708912387,0.5700972038363747,0.7333333333333333,-0.00116088860746133,1.0,1.0,False,True
T,2015-07-01,False,94.645,-0.00116088860746133,0.4993300829074729,0.5473297676327856,0.007044859000421955,-0.4361019802986734,0.31666666666666665,-0.0003698029478577114,1.0,1.0,False,True
T,2015-07-02,False,94.61,-0.0003698029478577114,0.5969440565301916,0.6445451746435843,0.027246151767338883,1.2371087967028387,0.9,0.006447521403657008,0.0,1.0,True,True
T,2015-07-03,False,95.22,0.006447521403657008,0.5919289851439781,0.6612847266623023,0.01498009453993634,1.1573922535277457,0.8666666666666667,0.007351396765385543,0.0,0.0,True,True
T,2015-07-06,False,95.92,0.007351396765385543,0.5068382777035083,0.5926817942299871,-0.0011984410149941615,-0.31917450692346616,0.36666666666666664,0.003753127606338502,1.0,0.0,False,False
T,2015-07-07,False,96.28,0.003753127606338502,0.5299650297876565,0.6039207410202005,-0.0028835885066316068,0.07869023877288034,0.5666666666666667,-0.004985459077690102,1.0,1.0,False,False
T,2015-07-08,False,95.8,-0.004985459077690102,0.5347439334571953,0.6653080504318225,-0.018636420150231415,0.13510947722312314,0.5833333333333334,0.0036534446764093786,1.0,1.0,False,False
T,2015-07-09,False,96.15,0.0036534446764093786,0.5598326022574193,0.6549187047636456,-0.0036287110019430635,0.5722645719248166,0.7333333333333333,-0.002080083203328198,1.0,1.0,False,False
T,2015-07-10,False,95.95,-0.002080083203328198,0.40721682629804873,0.4675034871537847,-0.01693753303411564,-2.0505433010982066,0.016666666666666666,-0.002397081813444557,1.0,1.0,False,False
T,2015-07-13,False,95.72,-0.002397081813444557,0.5570174484970386,0.5850234448260765,-0.00734222697403823,0.5319050378603257,0.6833333333333333,-0.001514834935227749,1.0,1.0,False,False
